eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.01,1,0.7689311810823224,0.8009093787960544,1.0,0.021604753372526347,1378.2691038299029,0.4004983241492705,0.7140315577367418
0.01,3,0.7091182008691402,0.811530759118878,0.9088,0.06696156406631912,333.151787068298,1.1699322089498345,0.460843889903806
0.01,5,0.5334076640971007,0.7716675919049091,0.8282,0.10355393160025086,329.38488923400087,1.3383767023074906,0.4276470933931254
0.01,10,0.20341382625480744,0.64553199829793,0.6416,0.006733690465073493,276.30028373087896,1.5880917738589644,0.3863850618051901
0.01,15,0.10769125770143766,0.565853971733874,0.5368,-0.06130787215196296,251.1483113446003,1.340207677832558,0.42731250284853994
0.025,1,0.5813535585584717,0.8498467794992983,0.615,-0.13021131710369171,521.7690055409471,0.9942694801797777,0.501436746607511
0.025,3,0.5811090986145449,0.8478845011889241,0.6066,0.2916772960257946,2144.9134459802244,1.5492298394010684,0.3922753392196861
0.025,5,0.7058684619228419,0.8920903317049544,0.7224,0.47856416552877634,4007.5937339413877,1.5441825350441833,0.3930535589431022
0.025,10,0.9426665782946061,0.9500735297959585,0.9638,0.6740964680301226,5198.379006704213,1.5220604311952086,0.39650120497949304
0.025,15,0.9064139835710646,0.9299178194540455,0.9456,0.6522184323207036,3735.916269866572,1.5136238371169313,0.3978320006493004
0.05,1,0.13944408386581653,0.5305359347450126,0.2728,0.0982972759238568,885.9289336775862,0.8602334335957632,0.5375669429115875
0.05,3,0.13944408386581653,0.5305359347450126,0.2728,0.0982972759238568,885.9289336775862,0.8602334335957632,0.5375669429115875
0.05,5,0.3117924172799261,0.7186792920286242,0.4096,0.3140248460642184,2216.719672780503,0.650906300216487,0.6057278961676188
0.05,10,0.5080550828960396,0.8072015668518521,0.4798,0.41818464277159767,3149.8903435347374,2.338547610471309,0.2995314480055679
0.05,15,0.5828934744872692,0.8421619032427824,0.5418,0.490060504849162,4603.529198531631,1.7030039349233794,0.36995876590477345
0.1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
