eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.01,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.01,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.01,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.01,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.025,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.025,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.025,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.025,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.025,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.05,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.05,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.05,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.05,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.05,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.1,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.15,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,1,0.000994547677732603,0.0100462215179997,1.0,0.01017341808156047,19.76549186552459,0.2138539510154422,0.823822338069136
0.25,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,1,0.016595051523371523,0.09018469387250369,1.0,0.04472802344745966,12.300905281593469,0.4403791121710575,0.6942616645507432
0.3,3,0.03931745712233917,0.16964187554282584,0.5449438202247191,-0.2628581871946139,3.579450409846501,1.4700273751756243,0.40485381257318975
0.3,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,1,0.31399197890274205,0.3113206513203244,0.8202247191011236,-0.16517402542836176,3.8308807107135228,0.7735388968644208,0.56384441399508
0.4,3,0.37484117517215465,0.4679893031699045,0.7247191011235955,0.00018474711408042121,21.602887778711317,2.631375223213144,0.27537776697037974
0.4,5,0.2343466495435097,0.34904028581072954,0.6741573033707865,-0.007398707104032952,15.80079962304152,2.083053201754033,0.32435379299684897
0.4,10,0.28362747495107926,0.42149837855799177,0.6348314606741573,0.15314791236384115,35.93657524283976,1.519902870296797,0.39684069246772946
0.4,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
