eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.01,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.01,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.01,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.01,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.01,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.025,1,0.3831362385130418,0.4977859381009446,1.0,-0.0386212085154092,67.7786089371431,0.37034218214570347,0.7297447404225594
0.025,3,0.34934316458115655,0.625689551160326,0.8020050125313283,-0.05809951355124327,56.08273099209149,1.2109454339787287,0.45229519672063556
0.025,5,0.054593401108037676,0.3036296552342579,0.568922305764411,-0.4404753849452121,8.426465995613274,1.4248546368296375,0.4123958545026205
0.025,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.025,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.05,1,0.9268724762858808,0.7794182351464859,0.9974937343358395,-0.11107373676501363,51.40284894385392,0.7578715968276699,0.5688697637555795
0.05,3,0.9485129049082743,0.9077575671629953,0.9674185463659147,0.08297064718964041,152.89726563139394,3.8214425110841606,0.2074068077553698
0.05,5,0.9086091855422742,0.8879673937027197,0.9172932330827067,0.07448792667043727,178.09436331120352,4.877069926705658,0.17015281636448754
0.05,10,0.8669446897642914,0.8537608117719879,0.8847117794486216,0.040725576322699776,153.32143691664115,5.256436096102791,0.15983540543519847
0.05,15,0.25389491088692995,0.5327814713963009,0.6541353383458647,-0.025733683512131716,44.26411588864198,2.212525022897251,0.3112816220488577
0.1,1,0.7567758766680598,0.7988178545949335,0.7744360902255639,0.5714201192449911,654.4059805676251,0.5813359993362753,0.6323766741664796
0.1,3,0.7567758766680598,0.7988178545949335,0.7744360902255639,0.5714201192449911,654.4059805676251,0.5813359993362753,0.6323766741664796
0.1,5,0.7704276603032143,0.8060127568939699,0.7919799498746867,0.569080610849112,604.1179625328235,0.9001943387599888,0.5262619615278775
0.1,10,0.7933830237248177,0.8215409304464498,0.8145363408521303,0.559398456073532,539.7180732918584,1.5373105922602455,0.3941180882822849
0.1,15,0.7933411601735563,0.7845563027017369,0.8070175438596491,0.5335190941270166,432.76734048311414,2.204579195949341,0.3120534519053304
0.15,1,0.4841271762316797,0.6067887555605339,0.6265664160401002,0.4954113139990322,419.13096441658325,0.8083038963250924,0.5530043938036301
0.15,3,0.4841271762316797,0.6067887555605339,0.6265664160401002,0.4954113139990322,419.13096441658325,0.8083038963250924,0.5530043938036301
0.15,5,0.4841271762316797,0.6067887555605339,0.6265664160401002,0.4954113139990322,419.13096441658325,0.8083038963250924,0.5530043938036301
0.15,10,0.49540190221359837,0.6064720273668875,0.6416040100250626,0.4082535964811452,224.87962720346914,1.197850671179243,0.45498996502044264
0.15,15,0.511990920727856,0.6171251067974768,0.6591478696741855,0.42917889512069196,260.5655622565181,0.8910383752511275,0.5288099982990568
0.2,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.2,15,0.0016578365951841205,0.0016399375277853059,0.39849624060150374,0.27357221658816455,2.7037650684803096,0.5802996506949818,0.632791382039616
0.25,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.25,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.4,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
