eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,0.010973544590557811,0.14826203918236894,0.998,0.2238682576232779,1.0,0.781485409813886
0.01,3,0.01213031640880727,0.21065913349676899,0.64,-0.26720798456840683,0.287961936513584,0.462521432960906
0.01,5,0.002424592744155585,0.13051323788813451,0.428,-0.6157713361520721,0.28828997336121975,0.49238857914019224
0.01,10,,,,,,
0.01,15,,,,,,
0.025,1,0.6929673156581118,0.619049964880137,0.995,-0.17503408239892257,0.6253591216216642,0.673880719961024
0.025,3,0.6867880280117313,0.6678089080192733,0.932,-0.01673582690896594,0.7172370420488721,0.45349225886649885
0.025,5,0.5863124923887224,0.6209815823794476,0.875,-0.015610536553659436,0.716960254721609,0.45385194697049763
0.025,10,0.22076413833043126,0.44549766388503814,0.69,-0.12460064593933998,0.655507140090582,0.42013418038820066
0.025,15,0.03776728435354435,0.26730497670693304,0.54,-0.41824806207364207,0.5239219844451112,0.4515192271898453
0.05,1,0.555074112041852,0.6740760605123512,0.677,-0.23614712623690443,0.5893814731461795,0.5976970609057387
0.05,3,0.5548611916774429,0.6778908939682956,0.664,0.30406119992433733,0.8258665387214122,0.2687719076873266
0.05,5,0.5465170669741097,0.6643002483435523,0.657,0.4810516461600678,0.8723001366312987,0.26298865298669094
0.05,10,0.5249934962509984,0.6222330477513175,0.647,0.4542394811732297,0.8597337912746695,0.24480796990848383
0.05,15,0.8386955344081244,0.8003816142839522,0.935,0.5632217635303468,0.9345711194416628,0.3590692107746292
0.1,1,0.5702013104999563,0.7304983632572256,0.667,0.48722154811591006,0.8859132110856004,0.6487900658101187
0.1,3,0.5702013104999563,0.7304983632572256,0.667,0.48722154811591006,0.8859132110856004,0.6487900658101187
0.1,5,0.5702013104999563,0.7304983632572256,0.667,0.48722154811591006,0.8859132110856004,0.6487900658101187
0.1,10,0.5698319137147894,0.7270892846816097,0.667,0.49845442666312884,0.8846038479736831,0.2907646857969045
0.1,15,0.569470738867025,0.724957791344077,0.668,0.4384078753254699,0.8846053151356943,0.27858154146921615
0.15,1,,,,,,
0.15,3,,,,,,
0.15,5,,,,,,
0.15,10,,,,,,
0.15,15,,,,,,
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,,,,,,
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,,,,,,
0.4,3,,,,,,
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
