eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,0.7689311810823224,0.8009093787960544,1.0,0.021604753372526347,0.8449111964896047,0.828740567774928
0.01,3,0.7091182008691402,0.811530759118878,0.9088,0.06696156406631912,0.6792187153660322,0.499718456142936
0.01,5,0.5334076640971007,0.7716675919049091,0.8282,0.10355393160025086,0.6778937216739558,0.42768892268233305
0.01,10,0.20341382625480744,0.64553199829793,0.6416,0.006733690465073493,0.6574225550347946,0.3209068026889983
0.01,15,0.10769125770143766,0.565853971733874,0.5368,-0.06130787215196296,0.6463098561194281,0.4269059685458131
0.025,1,0.5813535585584717,0.8498467794992983,0.615,-0.13021131710369171,0.7315245767084714,0.5748346197223305
0.025,3,0.5811090986145449,0.8478845011889241,0.6066,0.2916772960257946,0.8965704267761058,0.33752478142241527
0.025,5,0.7058684619228419,0.8920903317049544,0.7224,0.47856416552877634,0.969601477907719,0.33968308871292563
0.025,10,0.9426665782946061,0.9500735297959585,0.9638,0.6740964680301226,1.0,0.3491428507250046
0.025,15,0.9064139835710646,0.9299178194540455,0.9456,0.6522184323207036,0.961399358908853,0.3527504719855258
0.05,1,0.13944408386581653,0.5305359347450126,0.2728,0.0982972759238568,0.7933065976806879,0.6321505580027971
0.05,3,0.13944408386581653,0.5305359347450126,0.2728,0.0982972759238568,0.7933065976806879,0.6321505580027971
0.05,5,0.3117924172799261,0.7186792920286242,0.4096,0.3140248460642184,0.9004172068250622,0.7216621559031232
0.05,10,0.5080550828960396,0.8072015668518521,0.4798,0.41818464277159767,0.9414636632186267,0.0
0.05,15,0.5828934744872692,0.8421619032427824,0.5418,0.490060504849162,0.985800071567016,0.2717685424500905
0.1,1,,,,,,
0.1,3,,,,,,
0.1,5,,,,,,
0.1,10,,,,,,
0.1,15,,,,,,
0.15,1,,,,,,
0.15,3,,,,,,
0.15,5,,,,,,
0.15,10,,,,,,
0.15,15,,,,,,
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,,,,,,
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,,,,,,
0.4,3,,,,,,
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
