eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,,,,,,
0.01,3,,,,,,
0.01,5,,,,,,
0.01,10,,,,,,
0.01,15,,,,,,
0.025,1,0.3831362385130418,0.4977859381009446,1.0,-0.038621208515409206,0.6523865091622729,0.9295450013049675
0.025,3,0.34934316458115655,0.625689551160326,0.8020050125313283,-0.05809951355124328,0.6236457507009775,0.7696261474810768
0.025,5,0.054593401108037676,0.3036296552342579,0.568922305764411,-0.4404753849452121,0.34594188085524197,0.7289314260119995
0.025,10,,,,,,
0.025,15,,,,,,
0.05,1,0.9268724762858808,0.7794182351464859,0.9974937343358395,-0.11107373676501363,0.6104557251309359,0.8558202575989655
0.05,3,0.9485129049082743,0.9077575671629953,0.9674185463659147,0.08297064718964041,0.7765747655612179,0.2729974375761096
0.05,5,0.9086091855422742,0.8879673937027197,0.9172932330827067,0.07448792667043727,0.7999551208449673,0.07217174573441543
0.05,10,0.8669446897642914,0.8537608117719879,0.8847117794486216,0.04072557632269978,0.776999175454561,0.0
0.05,15,0.25389491088692995,0.5327814713963009,0.6541353383458647,-0.025733683512131716,0.5878742865753023,0.579082674563921
0.1,1,0.7567758766680598,0.7988178545949335,0.7744360902255639,0.5714201192449911,1.0,0.8894049145261582
0.1,3,0.7567758766680598,0.7988178545949335,0.7744360902255639,0.5714201192449911,1.0,0.8894049145261582
0.1,5,0.7704276603032143,0.8060127568939699,0.7919799498746867,0.569080610849112,0.9876903152493325,0.8287443579067939
0.1,10,0.7933830237248177,0.8215409304464498,0.8145363408521303,0.559398456073532,0.9703393553771253,0.7075374713677138
0.1,15,0.7933411601735563,0.7845563027017369,0.8070175438596491,0.5335190941270166,0.9363561553716462,0.5805943122596215
0.15,1,0.4841271762316797,0.6067887555605339,0.6265664160401002,0.4954113139990322,0.931430855365234,0.8462258683360799
0.15,3,0.4841271762316797,0.6067887555605339,0.6265664160401002,0.4954113139990322,0.931430855365234,0.8462258683360799
0.15,5,0.4841271762316797,0.6067887555605339,0.6265664160401002,0.4954113139990322,0.931430855365234,0.8462258683360799
0.15,10,0.49540190221359837,0.6064720273668875,0.6416040100250626,0.4082535964811452,0.8357423648433516,0.7721173340112801
0.15,15,0.511990920727856,0.6171251067974768,0.6591478696741855,0.42917889512069196,0.8583602475510722,0.8304862155726086
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,0.0016578365951841205,0.0016399375277853059,0.39849624060150374,0.27357221658816455,0.2018964429836029,0.8896020725667672
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,,,,,,
0.4,3,,,,,,
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
